Title,Affiliation,Cited By Count,Aggregation Type,Author Keywords,Index Keywords,Abstract,Description,DOI,eid,Open Access?
COLOR ANALYSIS BY COLOR INFORMATION PROCESSING SYSTEM (CIPS-I).,"['', '', '', '']",1,Journal,[],['COLOR INFORMATION PROCESSING SYSTEM'],"In recent years, image processing and pattern recognition by computers have been extensively developed. The difficulty in feature extraction, using monochromatic image data only, has resulted in system development which utilizes color information in images. This paper describes a Color Information Processing System which analyzes either true color images or false color images through computer programs. The hardware of this system includes a TV camera, supplemented with a color filter disk, and a multifunction color TV display, which has some color analyzing capabilities. Color analyzing processes are described. Color image data are analyzed by raw tristimulus values or lightness and chromaticity values. The result can be displayed on the color TV display. Because simple analyzing processes are speedily executed through functions of the color TV display, interactive color analysis is realized using this display and a data tablet. Such an interactive capability is a great advantage of the system. The system also was successfully applied to color analysis of aerial color photographs, surfaces of oranges and LANDSAT satellite images.","In recent years, image processing and pattern recognition by computers have been extensively developed. The difficulty in feature extraction, using monochromatic image data only, has resulted in system development which utilizes color information in images. This paper describes a Color Information Processing System which analyzes either true color images or false color images through computer programs. The hardware of this system includes a TV camera, supplemented with a color filter disk, and a multifunction color TV display, which has some color analyzing capabilities. Color analyzing processes are described. Color image data are analyzed by raw tristimulus values or lightness and chromaticity values. The result can be displayed on the color TV display. Because simple analyzing processes are speedily executed through functions of the color TV display, interactive color analysis is realized using this display and a data tablet. Such an interactive capability is a great advantage of the system. The system also was successfully applied to color analysis of aerial color photographs, surfaces of oranges and LANDSAT satellite images.",,2-s2.0-0017541920,
BASEMENT TECTONICS FROM LANDSAT IMAGERY IN MINING EXPLORATION.,"['', '', '', '']",8,Journal,[],['LANDSAT IMAGERY'],"The mineral potentials of basement cratonic areas are evaluated on the basis of mechanical analyses of their tectonic framework, obtained from LANDSAT imagery. Tensional release targets are selected through the application of different deformational models and the identification of the stage and type of deformation. Correlation between tensional release zones and epigenetic hypogenic mineralization in different cratonic areas of South America has been successful in several mining exploration programs. Refs.","The mineral potentials of basement cratonic areas are evaluated on the basis of mechanical analyses of their tectonic framework, obtained from LANDSAT imagery. Tensional release targets are selected through the application of different deformational models and the identification of the stage and type of deformation. Correlation between tensional release zones and epigenetic hypogenic mineralization in different cratonic areas of South America has been successful in several mining exploration programs. Refs.",,2-s2.0-0017537150,
DETERMINATION OF TERRESTRIAL ALBEDO FROM LANDSAT I SATELLITE IMAGERY IN PHOTOGRAPHIC FORM.,"['', '', '', '']",1,Journal,[],"['SOIL REFLECTANCE.', 'TERRESTRIAL ALBEDO']",Satellite imagery taken from Landsat I were used to determine terrestrial albedo and its changes with location and season in the basin of Sonoita Creek ((31 degree 45 prime N 110 degree 43 prime W). A simple linear equation was derived to link the albedo with the optical density of the imagery. The modeling approach was based on the cyclic nature of the energy exchange between earth and space on the one hand and on the local density on the developed film as an output on the other hand.,Satellite imagery taken from Landsat I were used to determine terrestrial albedo and its changes with location and season in the basin of Sonoita Creek ((31 degree 45 prime N 110 degree 43 prime W). A simple linear equation was derived to link the albedo with the optical density of the imagery. The modeling approach was based on the cyclic nature of the energy exchange between earth and space on the one hand and on the local density on the developed film as an output on the other hand.,10.2136/sssaj1977.03615995004100050003x,2-s2.0-0017531862,FALSE
URBAN AND REGIONAL LAND USE CHANGE DETECTED BY USING LANDSAT DATA.,"['', '', '', '']",48,Journal,[],[],"Temporal overlays combining Landsat band-5 data from October 1972 and 1974 are made by using the General Electric Image 100 system. The 1972 data are divided by the 1974 data, and low ratios indicate areas where land use and land cover had changed. These low ratios are classified into a land-use-change theme. A classification based on the use of the four bands of the multispectral scanner data, taken in 1974, yield six land use categories: (1) Commercial-industrial-multifamily, (2) single-family residential, (3) cleared-land, (4) open-space, (5) forested land, and (6) water. These six 1974 categories and the change theme are combined to determine changes between 1972 and 1974.","Temporal overlays combining Landsat band-5 data from October 1972 and 1974 are made by using the General Electric Image 100 system. The 1972 data are divided by the 1974 data, and low ratios indicate areas where land use and land cover had changed. These low ratios are classified into a land-use-change theme. A classification based on the use of the four bands of the multispectral scanner data, taken in 1974, yield six land use categories: (1) Commercial-industrial-multifamily, (2) single-family residential, (3) cleared-land, (4) open-space, (5) forested land, and (6) water. These six 1974 categories and the change theme are combined to determine changes between 1972 and 1974.",,2-s2.0-0017531266,
LANDSAT IMAGERY FOR SURFACE-MINE INVENTORY.,"['', '', '', '']",31,Journal,[],[],"A band-ratio method is presented for measuring distributed surface areas proved to be both temporally and geographically extendable. This study has demonstrated the feasibility of strip-mine inventory and monitoring with Landsat multispectral data to within 2 to 3 hectares. The average accuracy of classification is greater than 92 percent for Landsat images from 1973. Using band-ratioing techniques it is possible to extend signatures over a large geographic area and temporally to other Landsat images within the same orbit. The procedures developed are now being incorporated into a comprehensive State monitoring and inventory program to provide, in a rapid and inexpensive manner, accurate inforamtion on the location, size, and condition of areas affected by surface mining.","A band-ratio method is presented for measuring distributed surface areas proved to be both temporally and geographically extendable. This study has demonstrated the feasibility of strip-mine inventory and monitoring with Landsat multispectral data to within 2 to 3 hectares. The average accuracy of classification is greater than 92 percent for Landsat images from 1973. Using band-ratioing techniques it is possible to extend signatures over a large geographic area and temporally to other Landsat images within the same orbit. The procedures developed are now being incorporated into a comprehensive State monitoring and inventory program to provide, in a rapid and inexpensive manner, accurate inforamtion on the location, size, and condition of areas affected by surface mining.",,2-s2.0-0017527039,
FILTERING TO REMOVE CLOUD COVER IN SATELLITE IMAGERY.,"['', '', '', '']",28,Journal,[],['SATELLITE IMAGERY'],"The possibility of filtering light cloud cover in satellite imagery to expose objects beneath the clouds is discussed. A model of the cloud distortion process is developed and a transformation is introduced which makes the signal and noise additive so that optimum linear filtering techniques can be applied. This homomorphic filtering can be done in the two-dimensional image plane, or it can be extended to include the spectral dimension on multispectral data. The three-dimensional filter is especially promising because clouds tend to follow a common spectral response. The noise statistics can be estimated directly from the noisy data. Results from a computer simulation and from Landsat data are shown.","The possibility of filtering light cloud cover in satellite imagery to expose objects beneath the clouds is discussed. A model of the cloud distortion process is developed and a transformation is introduced which makes the signal and noise additive so that optimum linear filtering techniques can be applied. This homomorphic filtering can be done in the two-dimensional image plane, or it can be extended to include the spectral dimension on multispectral data. The three-dimensional filter is especially promising because clouds tend to follow a common spectral response. The noise statistics can be estimated directly from the noisy data. Results from a computer simulation and from Landsat data are shown.",10.1109/tge.1977.6498971,2-s2.0-0017518394,TRUE
LANDSAT FOREST AND RANGE INVENTORY OF SOUTHEAST TEXAS COUNTIES BY ADMINISTRATIVE BOUNDARIES.,"['', '', '', '']",1,Journal,[],[],"A computer-aided inventory of satellite data on forest and range land in southeast Texas counties (Walker, Montgomery, and San Jacinto) was conducted. The study was designed to develop procedures to inventory these features to determine the acreage by administrative boundaries and to evaluate the classification results. Two data sets (May and November 1973) were analyzed by means of an interactive computer process utilizing a training field classification approach. The classification results were evaluated first against historical data and again using a technique which involved sample plot checks. For the May data set, aggregating the county acreages into a single acreage per class resulted in acreages which varied less than 10 percent from the historical data. For each individual county, the class acreage estimates varied more than for the aggregate results. The acreages produced from the November classification results were unacceptable. The classification accuracies were poor when the sample plot evaluation technique was used; however, the difficulties encountered in applying the evaluation technique to Land Satellite (Landsat) data interpretation suggest that the evaluation technique was at fault rather than the classification accuracies. The study determined that pine, hardwood, and range could be inventoried by county boundaries in May. Mixed acreages could not be determined in either May or November. The forest classes and range were not spectrally separable on the November data. It was found that the county signatures obtained for each class could be used to classify acreage in the other counties; therefore, the derived signatures for pine, hardwood, and range could extend a minimum of 0. 617 million hectares (1. 5 million acres, the area of the three counties).","A computer-aided inventory of satellite data on forest and range land in southeast Texas counties (Walker, Montgomery, and San Jacinto) was conducted. The study was designed to develop procedures to inventory these features to determine the acreage by administrative boundaries and to evaluate the classification results. Two data sets (May and November 1973) were analyzed by means of an interactive computer process utilizing a training field classification approach. The classification results were evaluated first against historical data and again using a technique which involved sample plot checks. For the May data set, aggregating the county acreages into a single acreage per class resulted in acreages which varied less than 10 percent from the historical data. For each individual county, the class acreage estimates varied more than for the aggregate results. The acreages produced from the November classification results were unacceptable. The classification accuracies were poor when the sample plot evaluation technique was used; however, the difficulties encountered in applying the evaluation technique to Land Satellite (Landsat) data interpretation suggest that the evaluation technique was at fault rather than the classification accuracies. The study determined that pine, hardwood, and range could be inventoried by county boundaries in May. Mixed acreages could not be determined in either May or November. The forest classes and range were not spectrally separable on the November data. It was found that the county signatures obtained for each class could be used to classify acreage in the other counties; therefore, the derived signatures for pine, hardwood, and range could extend a minimum of 0. 617 million hectares (1. 5 million acres, the area of the three counties).",10.1109/tge.1977.6498975,2-s2.0-0017517822,
LANDSAT DIGITAL IMAGE RECTIFICATION SYSTEM.,"['', '', '', '']",50,Journal,[],[],"DIRS is a digital image rectification system for the geometric correction of Landsat multispectral scanner digital image data. DIRS removes spatial distortions from the data and brings it into conformance with the universal transverse mercator (UTM) map projection. Scene data in the form of landmarks or ground control points (GCP's) are used to drive the geometric correction algorithms. The system offers extensive capabilities for ″shade printing″ to aid in the determination of GCP's. Affine, two-dimensional least squares polynominal and spacecraft attitude modeling techniques for geometric mapping are provided. Entire scenes or selected quadrilaterals may be rectified. Resampling through nearest neighbor or cubic convolution at user designated intervals is available. The output products are in the form of digital tape in band-interleaved, single-band, or CCT format in a rotated UTM projection. The system was designed and implemented on large-scale IBM 360 computers with at least 300-500 kbytes of memory for user application programs and five 9-track tapes plus direct access storage.","DIRS is a digital image rectification system for the geometric correction of Landsat multispectral scanner digital image data. DIRS removes spatial distortions from the data and brings it into conformance with the universal transverse mercator (UTM) map projection. Scene data in the form of landmarks or ground control points (GCP's) are used to drive the geometric correction algorithms. The system offers extensive capabilities for ″shade printing″ to aid in the determination of GCP's. Affine, two-dimensional least squares polynominal and spacecraft attitude modeling techniques for geometric mapping are provided. Entire scenes or selected quadrilaterals may be rectified. Resampling through nearest neighbor or cubic convolution at user designated intervals is available. The output products are in the form of digital tape in band-interleaved, single-band, or CCT format in a rotated UTM projection. The system was designed and implemented on large-scale IBM 360 computers with at least 300-500 kbytes of memory for user application programs and five 9-track tapes plus direct access storage.",,2-s2.0-0017517122,
VALUE OF LANDSAT IN URBAN WATER RESOURCE PLANNING,"['', '', '', '']",8,Journal,[],['LANDSAT DATA'],Bayesian decision theory was used to study the economic value of Landsat data in urban water resources planning. The investigation focused upon a case study of the Fourmile Run watershed. Land cover data were required to aid in the selection of an optimal level of onsite detention storage to mitigate flood damages. An estimate of the percentage of impervious area was needed to determine the parameters of the hydrologic simulation model utilized in generating flood frequency information. Preposterior Bayesian analysis indicated that computer-aided analysis of Landsat data was a highly cost-effective method for determining the percentage of impervious area.,Bayesian decision theory was used to study the economic value of Landsat data in urban water resources planning. The investigation focused upon a case study of the Fourmile Run watershed. Land cover data were required to aid in the selection of an optimal level of onsite detention storage to mitigate flood damages. An estimate of the percentage of impervious area was needed to determine the parameters of the hydrologic simulation model utilized in generating flood frequency information. Preposterior Bayesian analysis indicated that computer-aided analysis of Landsat data was a highly cost-effective method for determining the percentage of impervious area.,,2-s2.0-0017493795,
TEST OF LANDSAT-BASED URBAN HYDROLOGIC MODELING,"['', '', '', '']",31,Journal,[],['COMPUTER MODELS'],"Many of the models designed to support the hydrologic studies associated with urban water resources planning require input parameters that are defined in terms of land cover. Estimating the land cover is a difficult and expensive task and any innovation that can reduce these problems should be of significant value to the water resources planning community. The purpose of the reported investigation was to compare conventional and Landsat-based methods for determining the land cover inputs of hydrologic planning and design models. Comparisons were based on a case study of the Fourmile Run Watershed in Virginia. Results of the study indicated that for planning model studies the Landsat-based approach is highly cost-effective. However, in the design model investigations the errors encountered when the Landsat date are used were unacceptable.","Many of the models designed to support the hydrologic studies associated with urban water resources planning require input parameters that are defined in terms of land cover. Estimating the land cover is a difficult and expensive task and any innovation that can reduce these problems should be of significant value to the water resources planning community. The purpose of the reported investigation was to compare conventional and Landsat-based methods for determining the land cover inputs of hydrologic planning and design models. Comparisons were based on a case study of the Fourmile Run Watershed in Virginia. Results of the study indicated that for planning model studies the Landsat-based approach is highly cost-effective. However, in the design model investigations the errors encountered when the Landsat date are used were unacceptable.",,2-s2.0-0017493140,
RADIOMETRIC INTERPRETIVE LEGEND FOR LANDSAT DIGITAL THEMATIC MAPS.,"['', '', '', '']",1,Journal,[],[],"A legend is suggested for use with computer-generated thematic maps made from Landsat digital data that designates some of the radiometric characteristics of each thematic map unit as well as the described terrain attributes of each map unit. The relationship between spectral band and radiance for each map unit is shown by a two-dimensional polygon with the four Landsat multispectral scanner bands plotted on the ordinate and radiance levels on the abscissa. The resulting shape is colored to correspond with-the map unit color, thus facilitating the recognition and understanding of the computer-generated map units.","A legend is suggested for use with computer-generated thematic maps made from Landsat digital data that designates some of the radiometric characteristics of each thematic map unit as well as the described terrain attributes of each map unit. The relationship between spectral band and radiance for each map unit is shown by a two-dimensional polygon with the four Landsat multispectral scanner bands plotted on the ordinate and radiance levels on the abscissa. The resulting shape is colored to correspond with-the map unit color, thus facilitating the recognition and understanding of the computer-generated map units.",,2-s2.0-0017492651,
Discernable Lineaments on Landsat Images of Lebanon. ALIGNEMENTS DECELABLES SUR DES IMAGES LANDSAT DU LIBAN.,"['', '', '', '']",0,Journal,[],['LITHOLOGY'],"Morphologic aspects of the lithologic structure not shown by conventional aerial photography are interpreted. Streams, wells, and undersea canyons are identified.","Morphologic aspects of the lithologic structure not shown by conventional aerial photography are interpreted. Streams, wells, and undersea canyons are identified.",,2-s2.0-0017491369,
RELATIVE PERFORMANCE OF SOME UNSUPERVISED CLUSTERING TECHNIQUES FOR THE PER-FIELD CLASSIFICATION OF LANDSAT DATA.,"['', '', '', '']",0,Journal,[],[],"Three algorithms for the per-field analysis of LANDSAT data are described. Methods of generating per-field data sets are briefly outlined, and the performance of the three algorithms discussed. At any given spatial scale, the traditional hierarchical algorithm produces better classifications than a multi-pass iterative technique, which is in turn better than a single pass chain algorithm. However, the computation requirements of these algorithms is such that for large data sets, the hierarchical technique is too expensive, and the iterative technique always more expensive than the chain.","Three algorithms for the per-field analysis of LANDSAT data are described. Methods of generating per-field data sets are briefly outlined, and the performance of the three algorithms discussed. At any given spatial scale, the traditional hierarchical algorithm produces better classifications than a multi-pass iterative technique, which is in turn better than a single pass chain algorithm. However, the computation requirements of these algorithms is such that for large data sets, the hierarchical technique is too expensive, and the iterative technique always more expensive than the chain.",,2-s2.0-0017491174,
